Migrant remittance inflows (US$ million),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017p
Portugal,0,0,0,0,0,1124.219393,924.087686,1194.114708,1693.566041,2482.199152,2970.794029,2875.473698,2634.099889,2186.900217,2197.960659,2163.220105,2654.397099,3368,3527,3704,4476,4720,4762,4316,3807,3950,3790.021563,3583.386433,3627.92715,3643.575297,3496.069445,3647.399493,2927.464736,3039.80679,3302.861377,3060.519746,3485.176231,4161.533467,4287.7608,3788.17369,3726.188031,3921.663573,3991.084294,4455.013835,4445.846849,4363.23936,4377.74816,4404.014649
Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573.6263736,803.2967033,574.3956044,498.6263736,437.087904,378.571424,392.0173685
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,18,16,49,96,96,116,143,124,132,4707.91,1160.464158,1624.282412,1702.335818,682.4634912,641.3866145,694.1163834,733.2186175,3518.842653,3381.251955,3085.453952,3484.233152,3587.597552
Russian Federation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4568,2506,2772,2267,1921,1290,1275,1404,1359,1453,2499,3436.552689,3820.38,4666.33,5736.97,5105.06,5250.02,6103.27,5787.73,6750.81,7776.54,6903.389952,6678.01984,7278.744766
Rwanda,0,0,0,0,0,0,0.24739119,1.1778797,2.1678907,4.787133647,3.3812094,3.90085834,7.17816718,3.43413975,2.94314561,2.8643483,4.01868151,4.48020502,3.806522,3.95513465,2.62830622,3.54733882,1.8441288,3.9310297,0,21.126524,0,5.236945,0.009562761,0,6.6262568,7.8500305,7.21,9.615552,9.81,8.869470826,28.99350725,121.4896246,67.79740341,92.61796667,106.4673792,174.2555082,182.4052773,123.0988793,183.5936359,159.1999615,172.5187695,183.5746898
Samoa,0,0,0,0,0,0,0,5.8518403,12.141249,13.45989,18.742386,18.557469,18.627843,20.333983,20.27057,23.827834,28.62114,36.634882,37.70843,40.873201,42.864224,34.80964475,40.03554605,32.27434772,37.4826847,40.5230984,44.2739007,46.5895603,42.0024271,44.67083,0,0,0,0,0.89778037,81.60259052,87.08573427,96.64960741,109.0082264,119.48934,138.5047718,159.5836307,177.695228,164.5834177,140.501951,131.1557635,38.32251069,39.75181291
San Marino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,0,0,0,0,0,0,0,0,0.29871615,0.596723727,0.77362433,0.9557425,0.712219408,1.096014716,3.2541743,0.277999554,0.085516571,0.070096197,0.063699185,0.157212211,0.31,0,0,0,0,0,0,0.8,0.5,0.56,0.4638,0.55367031,0.79733056,1.8214601,1.1,1.5,1.6,2,3,2,6.363257454,6.881334487,6.35888979,26.56672293,26.82784881,19.98019681,18.04484025,18.30528197
Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.9397309,105.740988,123.5422385,216.1866667,214.4,236.48,243.7333333,245.92,268.7733333,273.304,295.4344,307.548544,323.3971409
Senegal,0,0,0,0,8.51666076,26.31666094,45.99279078,43.06420334,55.6156618,56.2707198,77.0543085,68.192327,66.3103632,58.9661581,53.7581911,79.418966,108.949918,117.822603,117.54309,112.755687,142.067581,162.2478,176.216324,169.725893,113.831891,146.028709,150.4792,150.465322,147.418829,186.355447,233.26164,305.060389,344.795644,510.702994,632.712396,788.8248905,925.2422088,1191.799684,1476.110412,1350.399222,1477.678084,1613.911186,1613.911186,1613.911186,1929.055532,1929.055532,2015.863031,2338.401116
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3764.731402,3544.491743,4648.133641,4117.6313,3960.170944,3548.636717,4025.182959,3695.920471,3370.664944,3204.75504,3387.426077
Seychelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2594526,7.50444096,7.32012489,10.76120785,0.2894896,0.29668553,0.50399257,0.70422771,0.21884704,0.11402093,0.18717537,3.15900927,1.79085368,1.97991501,4.85511143,6.80831014,12.10109091,13.26955988,4.768023427,3.161817722,16.12348329,17.37695052,25.26192914,17.66907005,12.87432825,15.07084099,18.4242305,22.0870225,23.19218235
Sierra Leone,0,0,0,0,0,0,0,0,0,0,0.095256453,0,0.080733028,0.053041108,0.079682862,0.039260624,0,0.076375063,0.079965348,0.051828407,0.027072386,0.027764219,0.065673313,0.057801575,0.055902131,23.72143091,25.30083398,6.060933328,20.330605,22.476894,7.1349943,6.56766746,21.8154551,25.88925825,24.71483452,2.435105011,15.62233918,41.97385639,22.57860674,35.89600404,44.21857471,58.81161011,64.53406672,69.66068974,62.43011157,48.1636935,48.1636935,48.99522491
Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sint Maarten (Dutch part),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.08379888,55.66480447,72.54748604,62.16759776,55.117318,60.899442,62.98313101
Slovak Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.525115,48.492442,25.742912,20.7873543,29.1288951,23.82563949,20.11968168,17.87882425,0,24.42709582,425.5018166,529,946.4540768,1342.93528,1661.802195,2050.321508,1670.909895,1591.283863,1752.743846,1927.879306,2071.747804,2394.9623,2137.5656,2119.404672,2178.257073
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.3,52.2,273.1,272.1,279.7,241.8,227.9,225.3,205.2,200.8,216.1,237.9,265.6,261.1,279.2735956,320.2690379,380.2583458,329.1798896,347.2990223,489.086201,644.6991673,700.4883533,368.7701868,422.987132,364.305428,349.3689055
Solomon Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3562766,4.3231085,4.5280529,3.74344042,3.8811334,8.69649,7.162382821,10.74165257,12.63292702,9.141559768,12.51445731,14.27862493,16.92891105,20.723054,20.64017511,16.33508698,18.587891,20.28272,21.43593376
Somalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,15.3999939,15.3782122,16.8723228,15.87827,26.4081255,35.624969,28.75,28.75,43.7,51.122855,67.096895,86.858126,80.451815,73.583472,64.797191,38.708106,35.513609,45.234823,49.695087,88.546224,135.459341,129.072045,119.277254,101.700244,98.765757,105.32436,101.941696,205.895181,283.385911,327.462404,344.042253,297.778008,288.240234,434.567095,522.719624,613.5774324,691.930201,792.3511906,783.6935278,862.0516311,1069.571381,1158.421806,1084.534306,970.6553372,913.4031037,825.253504,755.434048,765.3892637
South Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,0,0,0,0,0,1403.986281,1379.9021,1462.360011,1734.738341,1898.976301,2190,1820,1579,1349,1227,1231.979854,1428.783226,1588.157946,1790.237102,1859.956364,2190.339831,2134,2633,2320,2635,3242,3496,3528,3930,4647,4862,5099,5584,6568,7540,6661.697776,7353.205616,8963.642388,9742.840783,8582.625486,8684.602294,9655.943593,9714.709518,10648.33099,10724.22678,10280.94054,10280.78746,10414.6346
Sri Lanka,0,0,0,0,0,8.562662,12.95768,18.482927,39.031033,60.065424,152,230,289,295,301,292,326,350,358,358,401,442,548,632,715,809.137573,851.3685074,942.3742409,1021.959917,1069.990716,1163.496406,1189.6,1312.01,1433.84,1585.69,1975.536,2166.77,2507.3,2924.5,3336.7,4123.13,5153.01,5999.552324,6422.186627,7036.32655,6999.731312,7257.361392,6669.515119
St. Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0.79259259,1.1111111,1.1,1.1111111,1.3111111,1.062963,10.51851845,11.30370375,12.16296332,19.20740748,19.28518562,1.4888889,1.4740741,15.1222221,17.60370371,20.22963007,21.18888899,22.45185168,24.64074095,26.0888884,27.09629676,27.80148135,28.59390362,29.93334829,31.30394066,30.26623333,32.83455666,36.12964852,40.09924222,38.80315075,47.03306222,44.67484297,51.04948111,51.57013592,51.57013592,51.57013592,51.57013592,52.87249824
St. Lucia,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68888889,0,0,17.96296333,20.44444446,15.8518515,15.3703704,16.11111143,17.73703734,2.05925927,15.42962939,21.78148127,23.05555514,27.39259276,25.22222246,25.92222216,26.5444446,26.44074084,26.86740706,26.77856596,27.37164469,28.65037058,27.06324815,27.83671482,28.60581852,28.90401481,27.99007,28.99365445,29.4444337,29.78945889,30.14693259,30.14693259,30.14693259,30.14693259,30.64113525
St. Martin (French part),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Vincent and the Grenadines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.88888923,15.1111111,14.9629627,15.37037033,15.62962959,2.44814812,2.04074077,17.39259302,16.97777801,17.17037021,18.17407378,19.82592577,20.80000017,21.15925882,22.48148153,22.7025926,23.14703692,23.52214072,25.51781849,22.4174963,25.55708148,28.86557408,26.77655926,29.05717445,29.05570074,29.23637851,31.10908112,31.5877074,31.5877074,31.5877074,31.5877074,32.4738132
Sudan,0,0,0,0,0,0,0,40.49291093,68.978427,127.91,262.6,383.671949,133.2210012,275,285,261,113,138,217,417,61.9,45.4,124,75.2,107,346,221.32,419.2,687.1,665,640.6,739.2,977.5,1225.24,1401.72,703.7883857,800.828762,999.71075,1590.626089,1394.395643,1455.537378,824.2209093,595.8432438,619.5088034,506.5568219,151.392014,153.4114615,178.9758113
Suriname,0,0,0,0,0,0,0,3.1,4.7,5.4,6,6.1,4,6,5.9,4.5,1.7,2.1,2.8,2,0.5,4.1,4.6,3.5,0.2,0,0,0.4,0,2.3,0,0.2,15.1,23.5,9.1,3.9,2.1,2.8,2.2,4.6,4.3,7.493784528,8.05749075,7.716417279,8.833808604,6.7055595,1.493543625,1.544699856
Swaziland,0,0,0,0,3.5321284,7.9782801,9.775,12.075,14.26,16.868654,35.311188,39.934128,37.207046,53.047303,52.668057,47.550158,55.010179,78.87886566,94.78912704,109.7244505,113.2803511,108.3259317,110.3856923,82.73757064,77.06858442,82.55196716,75.51328964,83.84010742,78.41221387,70.02178764,56.88541239,52.87645976,44.66932091,65.225296,82.7975803,95.42186976,95.65506859,95.12218316,89.63736606,93.45776262,54.69032385,38.12635481,31.31337386,30.00213222,24.49545161,18.6927855,18.6927855,19.94539938
Sweden,5.7991073,11.70525,12.598646,16.028393,20.272896,26.190417,41.384175,60.505138,48.687912,46.587487,65.987793,67.646599,0.13629301,24.5355355,22.480363,23.34312,18.435109,98.18337,104.32902,127.266343,152.50468,207.152111,232.240829,231.224665,249.495977,287.338085,301.333641,344.863803,126,364,438,579,512,620,677,673.4177179,596.7808012,773.9528546,824.7687004,714.8227491,762.0044712,4175.478082,4069.950425,4466.068101,4558.124525,3363.518912,2854.533568,2935.383255
Switzerland,0,0,0,0,0,0,0,406,537,592,609,443,526.732499,550.796564,495.37105,498.326143,652,779,826,755,924,988,1044,1052,1212,1478,1390,1205,1225,1220,1120,1305,1377,1703,1894,1721.477365,1795.179912,1795.61723,2214.728946,2341.619109,2494.622577,2616.7763,2416.668938,2437.906824,2412.900192,2553.299712,2493.570304,2566.881173
Syrian Arab Republic,0,0,0,0,0,0,0,92.45,636,901,774,436,411,387,321,350,323,334,360,430,385,350,550,352,535,339,313,238,220,198,180,170,135,889,855,823,795,1030.442463,1325.01392,1349.88,1622.53875,1622.53875,1622.53875,1622.53875,1622.53875,1622.53875,1622.53875,1622.53875
Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.5628,146.0498,252.0255,466.6523,1018.8432,1690.7607,2544.0176,1748.1523,2305.826625,3059.87167,3625.512075,4218.768565,3384.055195,2258.643264,1867.398592,2030.912434
Tanzania,0,0,0,0,0,0,0,0,0.12966721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84034821,19.318019,1.5862838,11.500423,7.2000089,8.0000148,15.253,12,8.9,13.7984184,19.3663,15.380675,25.4613844,36.81974778,39.82709351,344.2875526,409.5633662,390.1388881,381.9307842,389.484432,387.768422,411.226376,432.8562244
Thailand,0,0,0,0,0,18.45012147,24.0194868,45.04879252,104.4920183,188.4690246,382.8486485,477.4801086,618.3913024,846.0869561,893.0869561,877.7037585,795.647146,841.9855943,927.1977069,943.0787966,973,1020,445,1110,1280,1700,1810,1660,1420,1460,1700,1250,1380,1610,1620,1187.095815,1333.07368,1635.037143,1897.940174,2776.098382,3580.348295,4554.062825,4713.380624,5689.777048,6524.13,5894.680064,6272.839936,6561.390573
Timor-Leste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64232226,10.44487788,17.65548151,113.3478538,137.1359476,136.8960019,119.8598078,33.64974671,43.67989514,61.5861,80.1746,86.39466174
Togo,0,0,0,0,4.1170785,4.7687283,7.0851496,8.0267116,9.3327955,7.9587576,9.9347047,7.8643822,6.1136999,6.0776868,6.6093511,15.405232,21.423256,20.04415,21.239006,22.864609,26.874573,28.971286,16.245309,11.71765,15.306067,15.021584,29.371378,26.2597298,18.57100991,22.8618153,34.234287,68.50254,103.212651,148.409487,178.703938,192.5004588,232.1685909,284.4490896,337.0594653,334.5078057,336.5974854,244.1340807,344.7603225,397.3590488,427.2922548,363.59556,351.233311,388.4640419
Tonga,0,0.7937699,0.60790973,2.06216639,4.51393487,6.69457703,5.37444605,5.54187301,0,0,0,0,8.11932029,16.47530957,13.4638391,21.87134413,20.86998076,22.38804374,16.61213321,14.86772389,23.95823651,18.76452535,21.33454367,20.96301337,0,0,0,0,0,0,0,52.532854,66.34505935,60.39431484,69.29126722,68.64168176,78.7504261,100.9960492,93.85471133,72.1267937,77.23958972,78.71880123,117.6210184,120.9931509,80.20191452,80.20191452,80.20191452,83.78448467
Trinidad and Tobago,0,0,0,0,0,2.6269731,1.6421801,1.4166667,1.4166667,1.4166667,6,4.25,4.9166667,4.8333333,3.6666667,3.30612243,0.16666667,2.11111108,1.7170732,3.24705879,3.3882353,5.17647059,6.56470589,19.5473953,26.7851304,31.5074698,28.126253,30.19989,44.567529,54.4,38.100002,40.900002,79.1,86.8,86.9,92.4,91.2,109.4,94.5,109.3,90.9,126.068,126.068,126.068,136.1882102,152.539792,144.417744,148.8615649
Tunisia,0,0,0,0,0,0,142,168,221,283,319,361,372,360,317,271,348,459,498,450,551,525,531,446,629,680,736,685,718,761,796,927,1070,1253,1433,1392.672713,1510.039255,1715.757367,1976.964229,1964.488715,2063.294677,2004.498798,2265.714118,2290.512365,2346.621114,1971.37584,1971.37584,2029.926487
Turkey,0,0,0,0,1430,1310,982,982,983,1690,2070,2490,2140,1510,1810,1710,1630,2020,1780,3063,3250,2820,3010,2920,2630,3330,3540,4200,5360,4530,4560,2790,1940,729,804,887,1833,2096,2439,1834,1819,1883,1881,1901,1739,1395,1186,1142.118
Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.42,0,0,0,0,0,0,0,0,0,14.39999962,30.29999924,49.79999924,33.68000031,35.29999924,34.79999924,37.09999847,40,30,16,9,9.784474808
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.932020084,3.663470195,5.604763152,5.963465678,4.827112859,3.919900614,4.582719141,3.835897959,4.056908045,4.056908045,4.056908045,4.056908045,4.256601539
Uganda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,238,349,442,299,311,321.808493,411,451.5718759,723.5210027,781.0973193,770.789132,816.2318108,913.2641908,940.6643793,887.6113094,902.1575421,1015.710363,1181.728592
Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,12,18,33,141,209,330,411,2408,3102,5290,6782,5941,6535,7822,8449,9667,7354,5845.000064,6145.999872,6883.519857
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1369,1627,1685,2097,2092,2032,1768,1974,2470,2520,2880,2990,3400,3610,4820,4490,5030,5920,1777.672758,6105.706286,6556.335762,5995.100746,5242.981857,4951.404773,5099.003471,4944.716073,4804.502413,4932.330424,5003.393536,4564.740992,4779.341183
United States,0,0,0,0,0,0,0,200,220,230,80,80,80,80,80,80,908,994,995,1020,1170,1300,1800,1820,1940,2180,2180,2270,2440,4250,4400,4510,4570,4670,4730,4795,5068,5219,5364,5740,5930,6104,6303,6613,6503,6561.999872,6546.999808,6605.922806
Uruguay,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00603803,36.053,61.753293,69.896167,76.74039,88.933,96.476,107.912,101.073,124.891,128.836,121.7621577,124.4401337,123.7720828,115.839928,115.97364,120.27225
Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897.6199951,1692.900024,3006.780029,2070.51001,2858,4275.700195,5693.299805,6689,5828,3062,2479,2695.079228
Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,9.35478,7.1451817,8.4680079,8.7351089,8.0225625,8.4627996,8.00955359,7.31944276,8.211443,9.0586209,14.0892563,12.0433719,18.1190572,13.5075748,35.570316,15.528985,21.6072758,25.9658096,34.664645,52.7029,4.097122935,3.995373347,4.930017219,5.097613246,4.989726638,5.543183073,8.906629699,11.49204372,11.76861544,21.76588649,22.03653753,23.71013091,28.12531544,24.07352944,18.86350616,19.20547871
"Venezuela, RB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,4,17,17,17,17,19,19,208,143,148,165,151,137,132,143,138,118,120,128,161,279,288.7533419
Vietnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1340,1100,1770,2100,2310,3150,3800,6180,6805,6020,8260,8600,10000,11000,12000,13200,11880,13780.8
Virgin Islands (U.S.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bank and Gaza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581.9,542.3,623.4,1080.620973,1116.562555,1009.922853,1066.196149,1035.471281,572.426901,637.435694,642.9955909,464.0563179,598.5434232,740.7243655,755.2359079,927.1393867,1141.713036,1737.049553,1498.892425,1804.542444,1825.859248,1957.173888,2055.995274
"Yemen, Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,998,1020,1040,1060,1080,1140,1170,1200,1220,1290,1300,1290,1270,1280,1282.599,1282.6,1321.52,1410.52,1160,1526,1403.92,3351,3342.5,3350.5,3350.500096,3350.500096,3350.500096
Zambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.3,48.4,52.87,57.68,59.3,68.195,41.264,43.657312,46.27675072,72.864,53.98026206,58.30030243,47.04654,38.46444,40.56717835
Zimbabwe,0,0,0,0,0,0,0,17.64527048,12.89225,19.3975835,16.8916168,28.29462824,32.89533454,19.55618057,3.80628659,0.61964084,0.78505463,1.14302578,1.38294645,0.71224889,0.84863586,0.349842123,0.58772689,1.12580886,43.68541756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
World,1921.963098,2464.443721,2993.711404,3215.283986,4535.880907,9529.354754,11069.42895,16829.63977,22356.19728,28221.7505,35813.93746,34887.16467,36041.33078,36578.39133,35361.10973,34555.88406,40459.24071,48817.48085,52361.34804,54748.82438,64034.12654,67753.61523,75215.32331,75210.75538,85677.24757,97888.72638,102763.0084,117241.9948,114004.7156,121671.3659,126749.6857,140338.8093,163489.3601,197182.5171,226425.9779,280146.4292,326007.9991,393115.1297,454272.8711,426042.4766,462145.8609,524414.3558,544903.1745,574016.1519,597688.7812,581872.1768,573551.2752,595694.727
